scaffold_id,baker_library_path,hla_ca_rmsd_to_a0201,baker_cluster_k8
scaf147,data/scaffolds/baker_library/scaf147.pdb,6.599902390894387,4
scaf148,data/scaffolds/baker_library/scaf148.pdb,0.6891090638737708,4
scaf149,data/scaffolds/baker_library/scaf149.pdb,5.824656342037187,1
scaf15,data/scaffolds/baker_library/scaf15.pdb,5.896291505345614,4
scaf151,data/scaffolds/baker_library/scaf151.pdb,5.839558746743306,2
scaf153,data/scaffolds/baker_library/scaf153.pdb,5.89701069666243,1
scaf154,data/scaffolds/baker_library/scaf154.pdb,0.6873646001971113,7
scaf155,data/scaffolds/baker_library/scaf155.pdb,5.85081792054075,7
scaf156,data/scaffolds/baker_library/scaf156.pdb,5.836540477958589,2
scaf158,data/scaffolds/baker_library/scaf158.pdb,5.86539282093534,1
scaf16,data/scaffolds/baker_library/scaf16.pdb,0.6332969592822962,1
scaf162,data/scaffolds/baker_library/scaf162.pdb,0.556772006891604,4
scaf163,data/scaffolds/baker_library/scaf163.pdb,5.874516194862703,7
scaf164,data/scaffolds/baker_library/scaf164.pdb,4.055528362742836,5
scaf166,data/scaffolds/baker_library/scaf166.pdb,5.880896464679236,7
scaf167,data/scaffolds/baker_library/scaf167.pdb,0.699529450896719,1
scaf168,data/scaffolds/baker_library/scaf168.pdb,5.82616013706462,4
scaf169,data/scaffolds/baker_library/scaf169.pdb,5.870753942242671,3
scaf17,data/scaffolds/baker_library/scaf17.pdb,4.1314159516881945,6
scaf170,data/scaffolds/baker_library/scaf170.pdb,5.834027701181603,1
scaf171,data/scaffolds/baker_library/scaf171.pdb,5.851522204536206,2
scaf172,data/scaffolds/baker_library/scaf172.pdb,5.88829075577062,1
scaf173,data/scaffolds/baker_library/scaf173.pdb,5.840694451700441,2
scaf174,data/scaffolds/baker_library/scaf174.pdb,5.899255264315551,6
scaf175,data/scaffolds/baker_library/scaf175.pdb,5.905562618600703,4
scaf176,data/scaffolds/baker_library/scaf176.pdb,0.7078397068891344,7
scaf177,data/scaffolds/baker_library/scaf177.pdb,5.882248819556443,7
scaf179,data/scaffolds/baker_library/scaf179.pdb,0.7072616538359174,1
scaf18,data/scaffolds/baker_library/scaf18.pdb,5.86964450040469,8
scaf19,data/scaffolds/baker_library/scaf19.pdb,0.6895951178687139,2
scaf20,data/scaffolds/baker_library/scaf20.pdb,5.89460529369453,3
scaf21,data/scaffolds/baker_library/scaf21.pdb,0.6209642623223632,7
scaf22,data/scaffolds/baker_library/scaf22.pdb,5.877571391473697,7
scaf23,data/scaffolds/baker_library/scaf23.pdb,0.7254780325450246,7
scaf24,data/scaffolds/baker_library/scaf24.pdb,0.6566764106388022,7
scaf26,data/scaffolds/baker_library/scaf26.pdb,0.46402111379954675,4
scaf27,data/scaffolds/baker_library/scaf27.pdb,0.6546782174817258,1
scaf28,data/scaffolds/baker_library/scaf28.pdb,5.832175764684448,2
scaf29,data/scaffolds/baker_library/scaf29.pdb,5.8699847363077025,7
scaf3,data/scaffolds/baker_library/scaf3.pdb,5.846271656953154,7
scaf30,data/scaffolds/baker_library/scaf30.pdb,4.074059910600351,5
scaf31,data/scaffolds/baker_library/scaf31.pdb,0.7032057137906078,7
scaf32,data/scaffolds/baker_library/scaf32.pdb,0.7223560012501982,7
scaf33,data/scaffolds/baker_library/scaf33.pdb,5.887540490516326,7
scaf34,data/scaffolds/baker_library/scaf34.pdb,5.880311488560611,7
scaf35,data/scaffolds/baker_library/scaf35.pdb,0.6566521521832802,7
scaf37,data/scaffolds/baker_library/scaf37.pdb,0.7163775157198156,5
scaf38,data/scaffolds/baker_library/scaf38.pdb,0.4366070099832533,3
scaf4,data/scaffolds/baker_library/scaf4.pdb,5.8398923749250855,7
scaf40,data/scaffolds/baker_library/scaf40.pdb,0.6409875833363599,1
scaf42,data/scaffolds/baker_library/scaf42.pdb,5.865733155482876,5
scaf44,data/scaffolds/baker_library/scaf44.pdb,5.876703769379839,7
scaf45,data/scaffolds/baker_library/scaf45.pdb,4.059035903227973,3
scaf47,data/scaffolds/baker_library/scaf47.pdb,5.883237489472849,1
scaf48,data/scaffolds/baker_library/scaf48.pdb,0.47113897349975836,7
scaf49,data/scaffolds/baker_library/scaf49.pdb,5.850530672565081,1
scaf5,data/scaffolds/baker_library/scaf5.pdb,5.89962562916579,5
scaf50,data/scaffolds/baker_library/scaf50.pdb,4.054995953100372,5
scaf51,data/scaffolds/baker_library/scaf51.pdb,5.916096757910231,1
scaf52,data/scaffolds/baker_library/scaf52.pdb,5.8884192912987805,1
scaf53,data/scaffolds/baker_library/scaf53.pdb,5.890988983284789,1
scaf54,data/scaffolds/baker_library/scaf54.pdb,5.86897863513076,6
scaf55,data/scaffolds/baker_library/scaf55.pdb,5.838914467746337,7
scaf56,data/scaffolds/baker_library/scaf56.pdb,4.117515081466443,7
scaf57,data/scaffolds/baker_library/scaf57.pdb,5.894328284823268,1
scaf58,data/scaffolds/baker_library/scaf58.pdb,5.9207226531377515,7
scaf59,data/scaffolds/baker_library/scaf59.pdb,5.832008075267727,1
scaf6,data/scaffolds/baker_library/scaf6.pdb,5.832408449299533,7
scaf60,data/scaffolds/baker_library/scaf60.pdb,5.835668561539832,7
scaf61,data/scaffolds/baker_library/scaf61.pdb,5.884118209782234,1
scaf62,data/scaffolds/baker_library/scaf62.pdb,4.078754644530748,3
scaf63,data/scaffolds/baker_library/scaf63.pdb,0.579058613270676,7
scaf64,data/scaffolds/baker_library/scaf64.pdb,0.6212787046930937,7
scaf65,data/scaffolds/baker_library/scaf65.pdb,0.6630697805202271,5
scaf66,data/scaffolds/baker_library/scaf66.pdb,0.671466800206752,7
scaf67,data/scaffolds/baker_library/scaf67.pdb,5.881404242954642,1
scaf68,data/scaffolds/baker_library/scaf68.pdb,0.6670251838484766,7
scaf7,data/scaffolds/baker_library/scaf7.pdb,0.6637851247967188,7
scaf70,data/scaffolds/baker_library/scaf70.pdb,5.890157179910882,6
scaf71,data/scaffolds/baker_library/scaf71.pdb,0.6544283511936522,7
scaf72,data/scaffolds/baker_library/scaf72.pdb,0.44771827970669287,3
scaf74,data/scaffolds/baker_library/scaf74.pdb,5.894964579896486,1
scaf75,data/scaffolds/baker_library/scaf75.pdb,0.4229829214057696,1
scaf76,data/scaffolds/baker_library/scaf76.pdb,5.887360587155239,2
scaf77,data/scaffolds/baker_library/scaf77.pdb,0.6688320001261173,7
scaf78,data/scaffolds/baker_library/scaf78.pdb,5.84192186467778,7
scaf79,data/scaffolds/baker_library/scaf79.pdb,5.868283788868885,3
scaf8,data/scaffolds/baker_library/scaf8.pdb,0.7336690314811655,1
scaf81,data/scaffolds/baker_library/scaf81.pdb,0.6875234816811211,1
scaf82,data/scaffolds/baker_library/scaf82.pdb,4.0682222390720515,1
scaf83,data/scaffolds/baker_library/scaf83.pdb,5.882729065714482,7
scaf84,data/scaffolds/baker_library/scaf84.pdb,4.102512536812198,7
scaf85,data/scaffolds/baker_library/scaf85.pdb,5.864039683925716,4
scaf86,data/scaffolds/baker_library/scaf86.pdb,0.6626080363951197,1
scaf88,data/scaffolds/baker_library/scaf88.pdb,5.888541669269028,7
scaf89,data/scaffolds/baker_library/scaf89.pdb,0.6292076252209132,1
scaf9,data/scaffolds/baker_library/scaf9.pdb,5.852485163928356,7
scaf90,data/scaffolds/baker_library/scaf90.pdb,0.6858892491076407,3
scaf91,data/scaffolds/baker_library/scaf91.pdb,5.866916400605986,1
scaf92,data/scaffolds/baker_library/scaf92.pdb,0.2813243629451992,7
scaf93,data/scaffolds/baker_library/scaf93.pdb,0.6590492089203596,7
scaf94,data/scaffolds/baker_library/scaf94.pdb,0.7020773398332475,2
scaf95,data/scaffolds/baker_library/scaf95.pdb,5.908725216179782,4
scaf96,data/scaffolds/baker_library/scaf96.pdb,0.6889509317841148,1
scaf97,data/scaffolds/baker_library/scaf97.pdb,0.4013404798182466,4
scaf98,data/scaffolds/baker_library/scaf98.pdb,0.41666527500401646,1
scaf99,data/scaffolds/baker_library/scaf99.pdb,5.881403495639834,2
